date,total_trades,total_pnl,avg_pnl,median_size_usd,avg_sentiment,avg_pnl_7d,avg_sentiment_7d
2023-01-05,3,0.0,0.0,156.39,29.0,0.0,29.0
2023-05-12,9,0.0,0.0,1935.95,49.0,0.0,39.0
2024-01-01,18,-129.53146,-7.196192222222223,9216.095000000001,65.0,-2.3987307407407408,47.666666666666664
2024-01-02,6,0.0,0.0,252.115,71.0,-1.7990480555555557,53.5
2024-01-03,137,8244.241409,60.176944591240876,1000.87,70.0,10.59615047380373,56.8
2024-01-04,77,2507.963406,32.57095332467532,1041.48,68.0,14.258617615615663,58.666666666666664
2024-01-05,14,0.0,0.0,4871.745,72.0,12.221672241956282,60.57142857142857
2024-01-06,25,91.510419,3.66041676,333.0,70.0,12.744588921956282,66.42857142857143
2024-01-07,64,5065.839308,79.1537391875,423.28999999999996,71.0,24.052265948741997,69.57142857142857
2024-01-08,57,167.080017,2.9312283684210527,1002.35,71.0,25.499040318833895,70.42857142857143
2024-01-09,12,137.433093,11.452757750000002,499.67499999999995,76.0,27.135148568833895,71.14285714285714
2024-01-10,4,0.0,0.0,31787.215,73.0,18.53844219865662,71.57142857142857
2024-01-11,23,1040.4757359999999,45.23807547826086,2753.9,76.0,20.348031077740274,72.71428571428571
2024-01-12,416,40886.364494,98.28453003365385,296.565,71.0,34.38867822540511,72.57142857142857
2024-02-01,17,783.979116,46.11641858823529,2439.38,63.0,40.453821343724435,71.57142857142857
2024-02-02,42,456.423473,10.867225547619048,3708.865,63.0,30.698605109455734,70.42857142857143
2024-02-03,31,230.90060000000005,7.448406451612905,269.86,60.0,31.34391626419742,68.85714285714286
2024-02-04,41,883.760812,21.555141756097562,3300.9,60.0,32.78711397935422,66.57142857142857
2024-02-06,93,192.906947,2.074268247311828,221.94,64.0,33.08343801468448,65.28571428571429
2024-02-07,18,2421.253116,134.514062,218.55,62.0,45.837150374932925,63.285714285714285
2024-02-08,63,782.368191,12.418542714285715,2129.53,66.0,33.570580757880336,62.57142857142857
2024-02-09,2,0.0,0.0,15000.21,72.0,26.982520959561008,63.857142857142854
2024-02-10,4,0.0,0.0,20954.905000000002,74.0,25.430060167043997,65.42857142857143
2024-02-11,2,0.0,0.0,20000.0,71.0,24.36600210252787,67.0
2024-02-12,270,18489.604313,68.48001597407408,149.885,70.0,31.069555562238804,68.42857142857143
2024-03-01,67,866.015507,12.925604582089552,2102.78,80.0,32.61974646720705,70.71428571428571
2024-03-02,56,223.30918699999998,3.9876640535714283,3788.38,80.0,13.973118189145826,73.28571428571429
2024-03-03,79,8361.086245,105.83653474683545,805.5,83.0,27.318545622367218,75.71428571428571
2024-03-04,4,126.7884,31.6971,3443.955,82.0,31.84670276522436,77.14285714285714
2024-03-05,36,5306.017045,147.3893623611111,1991.1950000000002,90.0,52.9023259596688,79.42857142857143
2024-03-06,70,562.808208,8.040117257142859,221.95,75.0,54.050914139260634,80.0
2024-03-07,18,1118.387284,62.132626888888886,2957.515,82.0,53.14414426994847,81.71428571428571
2024-03-08,37,464.1897,12.545667567567568,4534.09,81.0,53.089867553588185,81.85714285714286
2024-03-10,9,100.375782,11.152864666666666,4525.05,79.0,54.113467641173216,81.71428571428571
2024-03-11,6,0.0,0.0,19456.93,82.0,38.99396267733958,81.57142857142857
2024-03-12,374,23576.539285,63.03887509358289,499.645,81.0,43.471359119279995,81.42857142857143
2024-04-01,5,-67.60364,-13.520728,3335.99,79.0,20.48420335340698,79.85714285714286
2024-04-02,35,47.62389499999999,1.360682714285714,2314.37,79.0,19.529998418713102,80.42857142857143
2024-04-03,300,27799.775742,92.66591914,902.695,71.0,23.891897311728975,78.85714285714286
2024-04-04,32,0.0,0.0,961.4749999999999,70.0,22.09965908779075,77.28571428571429
2024-04-05,9,0.0,0.0,3993.33,79.0,20.506392706838373,77.28571428571429
2024-04-06,53,52.211438,0.9851214716981133,340.43,75.0,20.64712434565239,76.28571428571429
2024-04-07,25,0.0,0.0,8103.87,78.0,11.641570760854831,75.85714285714286
2024-04-08,127,-122672.000883,-965.9212667952756,1111.06,76.0,-124.4156490670417,75.42857142857143
2024-04-09,34,1065.785132,31.346621529411763,103.485,80.0,-120.13194352202369,75.57142857142857
2024-04-10,1,0.0,0.0,0.34,78.0,-133.3699319705951,76.57142857142857
2024-04-11,36,2799.410474,77.76140205555555,7595.200000000001,76.0,-122.26116024837289,77.42857142857143
2024-04-12,319,292891.815021,918.1561599404388,272.25,79.0,8.904005457404082,77.42857142857143
